,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,7/26/2016,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 44",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,,
,41,,4,,3,,,-1,,,"BH473R",,,,,,"Clamp Kelly 10'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"MAJOR BASIC PAN 1 6",,,,,
,41,,4,,2,,,-2,,,"BH473R",,,,,,"Clamp Kelly 10'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"023",,,,"MAJOR BASIC PAN 1 23",,,,,
,32,,1,,0,,,-1,,,"BC281R",,,,,,"Nelson Metz Scissors Tc 11"" Cvd Del",,,,,
,41,,4,,3,,,-1,,,"BH473R",,,,,,"Clamp Kelly 10'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"013",,,,"MINOR BASIC 13",,,,,
,27,,2,,0,,,-2,,,"FB402R",,,,,,"Forceps Debakey 8"" 2mm",,,,,
,30,,2,,0,,,-2,,,"OL602R",,,,,,"Kleinert Kutz Skin Hook 6-3/8"" 4.2mm #2",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL GENERAL 2",,,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"RECTAL GENERAL 5",,,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL FISTULA GEN 3",,,,,
,2,,2,,1,,,-1,,,"SU760",,,,,,"Buie Fistula Probe 5-3/8 Lt",,,,,
,13,,1,,0,,,-1,,,"AU6606",,,,,,"Spratt Mastoid Curette 6-1/2"" #4",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN017",,,,,,,,,,,"S/N:",,"001",,,,"RETR RECTAL HILL FERGUSON LTD GEN 1",,,,,
,15,,1,,0,,,-1,,,"01-0350",,,,,,"Cord Light 3.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"001",,,,"TRACH GEN 1",,,,,
,32,,1,,0,,,-1,,,"054165",,,,,,"Hook Trachea  7-1/2"" Sharp 7x1mm",,,,,
,35,,2,,1,,,-1,,,"070116",,,,,,"Retractor Jackson Tracheal Dbl End *",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"TRACH GEN 5",,,,,
,40,,2,,1,,,-1,,,"164865",,,,,,"Retractor Vein 9'",,,,,
