,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,9/13/2016,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 47",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO002",,,,,,,,,,,"S/N:",,"009",,,,"LAPSC BASIC 9",,,,,
,15,,1,,0,,,-1,,,"250-080-697r",,,,,,"Ratcheted Retention, Grasper",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"006",,,,"MAJOR BASIC PAN 1 6",,,,,
,38,,2,,1,,,-1,,,"BM037R",,,,,,"Needle Holder Debakey  10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"015",,,,"MAJOR BASIC PAN 1 15",,,,,
,19,,1,,0,,,-1,,,"496112",,,,,,"Westphal Duct Clamp 7-1/2"" 80°",,,,,
,39,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"018",,,,"MAJOR BASIC PAN 1 18",,,,,
,45,,2,,1,,,-1,,,"BD511R",,,,,,"Forceps  Adson W/Teeth",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"023",,,,"MAJOR BASIC PAN 1 23",,,,,
,12,,8,,7,,,-1,,,"BH443R",,,,,,"Clamp Pean (Kelly) 6-1/4"" Cvd.",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN008",,,,,,,,,,,"S/N:",,"006",,,,"MAJOR BASIC PAN 2 6",,,,,
,2,,2,,1,,,-1,,,"BT026R",,,,,,"Parker Retractor 7"" Dbl End",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 2 7",,,,,
,31,,2,,0,,,-2,,,"LX210",,,,,,"Single Clip Applier Medium White 10-1/2""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"025",,,,"MINOR BASIC 25",,,,,
,30,,2,,1,,,-1,,,"OL602R",,,,,,"Kleinert Kutz Skin Hook 6-3/8"" 4.2mm #2",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL GENERAL 2",,,,,
,2,,1,,0,,,-1,,,"461430",,,,,,"Small Rectal  (Long Iris)",,,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"RECTAL GENERAL 5",,,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,,
,40,,1,,0,,,-1,,,"80-2715",,,,,,"Buie Suction Tube W/valve 15fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL FISTULA GEN 3",,,,,
,2,,2,,1,,,-1,,,"SU760",,,,,,"Buie Fistula Probe 5-3/8 Lt",,,,,
,13,,1,,0,,,-1,,,"AU6606",,,,,,"Spratt Mastoid Curette 6-1/2"" #4",,,,,
,,,,,,,,,,,,,,,,,,,,,,
