,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,11/10/2015,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 38",
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair"
,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR BASIC PAN 1 1",,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,
,40,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,
,47,,2,,1,,,-1,,,"BD559R",,,,,,"Forceps  Tissue With Teeth",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"010",,,,"MAJOR BASIC PAN 1 10",,,,
,37,,2,,1,,,-1,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"019",,,,"MAJOR BASIC PAN 1 19",,,,
,48,,2,,1,,,-1,,,"FB402R",,,,,,"Forceps Debakey 8"" 2mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN008",,,,,,,,,,,"S/N:",,"006",,,,"MAJOR BASIC PAN 2 6",,,,
,32,,2,,1,,,-1,,,"LC410",,,,,,"Appl Ligaclip  Lrg/Lng (Yellow Handle Cover)",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 2 7",,,,
,12,,1,,0,,,-1,,,"48-1825",,,,,,"Retractor Deaver Long 1-1/2""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"028",,,,"MINOR BASIC 28",,,,
,13,,2,,1,,,-1,,,"EA031R",,,,,,"Babcock Tissue Clamp 6-3/4""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,
,12,,1,,0,,,-1,,,"SU860",,,,,,"Stewart Crypt Hook 8-1/2"" Hook 7/8""",,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Retractor Sawyer Rectal Small",,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Retractor Sawyer Rectal Med",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RECTAL GENERAL 6",,,,
,13,,1,,0,,,-1,,,"SU810",,,,,,"Small (Rosser)",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL FISTULA GEN 2",,,,
,6,,1,,0,,,-1,,,"OP7030-034",,,,,,"Williams Lacrimal Probe 5-1/2"" #3/4",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"RECTAL FISTULA GEN 4",,,,
,8,,1,,0,,,-1,,,"OP7030-078",,,,,,"Williams Lacrimal Probe 5-1/2"" #7/8",,,,
,23,,2,,1,,,-1,,,"35-1907",,,,,,"Forceps Gerald W/Teeth Lg",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN024",,,,,,,,,,,"S/N:",,"002",,,,"SCOPE COLON FLEX GEN 2",,,,
,4,,1,,0,,,-1,,,"MB358",,,,,,"Biopsy Valve  Semi-Disposable",,,,
,5,,1,,0,,,-1,,,"MH438",,,,,,"Air/Water Valve",,,,
,6,,1,,0,,,-1,,,"MH443",,,,,,"Suction Valve",,,,
,9,,1,,0,,,-1,,,"MAJ-901",,,,,,"Water Container",,,,
,10,,1,,0,,,-1,,,"0108",,,,,,"Lid That Has Water Tube Connected To It",,,,
,11,,1,,0,,,-1,,,"0109",,,,,,"Green O Ring",,,,
,12,,1,,0,,,-1,,,"0110",,,,,,"Bottle (Can Be Opaque Or Clear)",,,,
,13,,1,,0,,,-1,,,"0111",,,,,,"Bottle Protector White (For Clear Bottle Only)",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN028",,,,,,,,,,,"S/N:",,"002",,,,"DR EVANS ABDOMINAL SPECIALS 2",,,,
,23,,2,,1,,,-1,,,"CHO6159",,,,,,"Castros Non-Locking",,,,
,41,,2,,1,,,-1,,,"FB370R",,,,,,"Clamp 2"" Str Cooley Jaw 21.8cm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
