,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,7/14/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 34",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR BASIC PAN 1 1",,,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,,
,40,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"MAJOR BASIC PAN 1 13",,,,,
,31,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"020",,,,"MAJOR BASIC PAN 1 20",,,,,
,33,,1,,0,,,-1,,,"BC281R",,,,,,"Nelson Metz Scissors Tc 11"" Cvd Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"022",,,,"MAJOR BASIC PAN 1 22",,,,,
,37,,2,,1,,,-1,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"023",,,,"MAJOR BASIC PAN 1 23",,,,,
,31,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,,
,42,,4,,3,,,-1,,,"BH473R",,,,,,"Clamp Kelly 10'",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
