,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,3/17/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 36",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN003",,,,,,,,,,,"S/N:",,"004",,,,"BX CENTRAL LINE 4",,,,,
,18,,2,,1,,,-1,,,"320-110",,,,,,"Debakey Vascular Tissue Forceps 6"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,,
,30,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"MAJOR BASIC PAN 1 13",,,,,
,39,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"016",,,,"MAJOR BASIC PAN 1 16",,,,,
,17,,2,,1,,,-1,,,"EA017R",,,,,,"Clamp Allis  8'",,,,,
,36,,2,,1,,,-1,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,,
,54,,1,,0,,,-1,,,"XG006R",,,,,,"Forceps Russian Tissue 10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"018",,,,"MAJOR BASIC PAN 1 18",,,,,
,2,,1,,0,,,-1,,,"BB074R",,,,,,"Knife Handles-#3",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"001",,,,"RECTAL GENERAL 1",,,,,
,40,,1,,0,,,-1,,,"80-2715",,,,,,"Buie Suction Tube W/valve 15fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"RECTAL GENERAL 2",,,,,
,8,,1,,0,,,-1,,,"180-234",,,,,,"Probe W/eye Silver 6""",,,,,
,40,,1,,0,,,-1,,,"80-2715",,,,,,"Buie Suction Tube W/valve 15fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,,
,12,,1,,0,,,-1,,,"SU860",,,,,,"Stewart Crypt Hook 8-1/2"" Hook 7/8""",,,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Small",,,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Medium",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RECTAL GENERAL 6",,,,,
,2,,1,,0,,,-1,,,"461430",,,,,,"Small Rectal  (Long Iris)",,,,,
,3,,1,,0,,,-1,,,"SU1741",,,,,,"Operating Scissors 5"" Cvd S/s",,,,,
,13,,1,,0,,,-1,,,"SU810",,,,,,"Small (Rosser)",,,,,
,38,,1,,0,,,-1,,,"181108",,,,,,"Tissue W/Out Teeth (Thumb) 8""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL FISTULA GEN 2",,,,,
,6,,1,,0,,,-1,,,"OP7030-034",,,,,,"Williams Lacrimal Probe 5-1/2"" #3/4",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"001",,,,"TRACH GEN 1",,,,,
,34,,2,,1,,,-1,,,"070116",,,,,,"Jackson Tracheal Retractor D/E",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"TRACH GEN 3",,,,,
,12,,2,,1,,,-1,,,"475307",,,,,,"Clamp Coller  5-1/2"" Strong Cvd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"TRACH GEN 6",,,,,
,24,,2,,1,,,-1,,,"FB400R",,,,,,"Forceps Debakey Str 6"" 2.0mm",,,,,
,33,,1,,0,,,-1,,,"070114",,,,,,"News Tracheal Retractor 6-1/4"" Sharp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"TRACH GEN 7",,,,,
,33,,1,,0,,,-1,,,"070114",,,,,,"News Tracheal Retractor 6-1/4"" Sharp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN024",,,,,,,,,,,"S/N:",,"002",,,,"SCOPE COLON FLEX GEN 2",,,,,
,4,,1,,0,,,-1,,,"MB358",,,,,,"Biopsy Valve  Semi-Disposable",,,,,
,5,,1,,0,,,-1,,,"MH438",,,,,,"Air/Water Valve",,,,,
,6,,1,,0,,,-1,,,"MH443",,,,,,"Suction Valve",,,,,
,9,,1,,0,,,-1,,,"MAJ-901",,,,,,"Water Container",,,,,
,10,,1,,0,,,-1,,,"0108",,,,,,"Lid That Has Water Tube Connected To It",,,,,
,11,,1,,0,,,-1,,,"0109",,,,,,"Green O Ring",,,,,
,12,,1,,0,,,-1,,,"0110",,,,,,"Bottle (Can Be Opaque Or Clear)",,,,,
,13,,1,,0,,,-1,,,"0111",,,,,,"Bottle Protector White (For Clear Bottle Only)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN025",,,,,,,,,,,"S/N:",,"001",,,,"RETR THOMPSON BLD GEN 1",,,,,
,3,,6,,5,,,-1,,,"42126LC",,,,,,"Clamp Clip on Cam Latch Joint",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"RETR THOMPSON BLD GEN 2",,,,,
,3,,6,,5,,,-1,,,"42126LC",,,,,,"Clamp Clip on Cam Latch Joint",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"RETR THOMPSON BLD GEN 3",,,,,
,23,,2,,1,,,-1,,,"46124",,,,,,"Interchangeable Malleable Retr 2-1/2x10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN028",,,,,,,,,,,"S/N:",,"001",,,,"DR EVANS ABDOMINAL SPECIALS 1",,,,,
,34,,2,,0,,,-2,,,"MB287R",,,,,,"Grafting Suction Tube 9-1/2"" 4mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"DR EVANS ABDOMINAL SPECIALS 3",,,,,
,42,,2,,1,,,-1,,,"FB374R",,,,,,"Clamp 2"" Cvd Cooley Jaw 1.8cm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN029",,,,,,,,,,,"S/N:",,"001",,,,"DR EVANS NECK SPECIALS 1",,,,,
