,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,12/15/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 39",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR BASIC PAN 1 1",,,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,,
,21,,4,,3,,,-1,,,"477118",,,,,,"Clamp Rt Ang Mixter  9""",,,,,
,40,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,47,,2,,1,,,-1,,,"BD559R",,,,,,"Forceps  Tissue With Teeth",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"008",,,,"MAJOR BASIC PAN 1 8",,,,,
,33,,1,,0,,,-1,,,"BC281R",,,,,,"Nelson Metz Scissors Tc 11"" Cvd Del",,,,,
,35,,2,,0,,,-2,,,"BM035R",,,,,,"Debakey Needle Holder Tc 7"" Del Serr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"009",,,,"MAJOR BASIC PAN 1 9",,,,,
,39,,2,,0,,,-2,,,"BM037R",,,,,,"Needle Holder Debakey  10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"010",,,,"MAJOR BASIC PAN 1 10",,,,,
,20,,1,,0,,,-1,,,"496112",,,,,,"Westphal Duct Clamp 7-1/2"" 80°",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"019",,,,"MAJOR BASIC PAN 1 19",,,,,
,20,,1,,0,,,-1,,,"496112",,,,,,"Westphal Duct Clamp 7-1/2"" 80°",,,,,
,31,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"023",,,,"MAJOR BASIC PAN 1 23",,,,,
,39,,2,,0,,,-2,,,"BM037R",,,,,,"Needle Holder Debakey  10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN008",,,,,,,,,,,"S/N:",,"006",,,,"MAJOR BASIC PAN 2 6",,,,,
,32,,2,,1,,,-1,,,"LC410",,,,,,"Appl Ligaclip  Lrg/Lng (Yellow Handle Cover)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 2 7",,,,,
,12,,1,,0,,,-1,,,"48-1825",,,,,,"Retractor Deaver Long 1-1/2""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"018",,,,"MAJOR BASIC PAN 2 18",,,,,
,2,,2,,1,,,-1,,,"BT026R",,,,,,"Parker Retractor 7"" Dbl End",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"028",,,,"MINOR BASIC 28",,,,,
,13,,2,,1,,,-1,,,"EA031R",,,,,,"Babcock Tissue Clamp 6-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,,
,12,,1,,0,,,-1,,,"SU860",,,,,,"Stewart Crypt Hook 8-1/2"" Hook 7/8""",,,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Retractor Sawyer Rectal Small",,,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Retractor Sawyer Rectal Med",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL FISTULA GEN 2",,,,,
,6,,1,,0,,,-1,,,"OP7030-034",,,,,,"Williams Lacrimal Probe 5-1/2"" #3/4",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"RECTAL FISTULA GEN 3",,,,,
,8,,1,,0,,,-1,,,"OP7030-078",,,,,,"Williams Lacrimal Probe 5-1/2"" #7/8",,,,,
,21,,1,,0,,,-1,,,"31-3020",,,,,,"Scissors Miller",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"005",,,,"TRACH GEN 5",,,,,
,26,,1,,0,,,-1,,,"NL1950",,,,,,"Suction Adson W/O Stylet 15Fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN024",,,,,,,,,,,"S/N:",,"002",,,,"SCOPE COLON FLEX GEN 2",,,,,
,4,,1,,0,,,-1,,,"MB358",,,,,,"Biopsy Valve  Semi-Disposable",,,,,
,5,,1,,0,,,-1,,,"MH438",,,,,,"Air/Water Valve",,,,,
,6,,1,,0,,,-1,,,"MH443",,,,,,"Suction Valve",,,,,
,9,,1,,0,,,-1,,,"MAJ-901",,,,,,"Water Container",,,,,
,10,,1,,0,,,-1,,,"0108",,,,,,"Lid That Has Water Tube Connected To It",,,,,
,11,,1,,0,,,-1,,,"0109",,,,,,"Green O Ring",,,,,
,12,,1,,0,,,-1,,,"0110",,,,,,"Bottle (Can Be Opaque Or Clear)",,,,,
,13,,1,,0,,,-1,,,"0111",,,,,,"Bottle Protector White (For Clear Bottle Only)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN025",,,,,,,,,,,"S/N:",,"003",,,,"RETR THOMPSON BLD GEN 3",,,,,
,5,,6,,5,,,-1,,,"42126LC",,,,,,"Clamp Clip on Cam Latch Joint",,,,,
,,,,,,,,,,,,,,,,,,,,,,
