,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,4/28/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 35",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BENDO029",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC RETR MARTIN ARM 3",,,,,
,3,,1,,0,,,-1,,,"LAP-202A",,,,,,"Nathanson Hook Sm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN003",,,,,,,,,,,"S/N:",,"004",,,,"BX CENTRAL LINE 4",,,,,
,18,,2,,1,,,-1,,,"320-110",,,,,,"Debakey Vascular Tissue Forceps 6"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,,
,39,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,,
