,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,3/31/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 36",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BENDO029",,,,,,,,,,,"S/N:",,"005",,,,"LAPSC RETR MARTIN ARM 5",,,,,
,3,,1,,0,,,-1,,,"LAP-202A",,,,,,"Nathanson Hook Sm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN003",,,,,,,,,,,"S/N:",,"004",,,,"BX CENTRAL LINE 4",,,,,
,18,,2,,1,,,-1,,,"320-110",,,,,,"Debakey Vascular Tissue Forceps 6"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,,
,39,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,,
,30,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 1 7",,,,,
,36,,2,,1,,,-1,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"MAJOR BASIC PAN 1 13",,,,,
,39,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"017",,,,"MAJOR BASIC PAN 1 17",,,,,
,17,,2,,1,,,-1,,,"EA017R",,,,,,"Clamp Allis  8'",,,,,
,36,,2,,0,,,-2,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,,
,49,,2,,0,,,-2,,,"FB405R",,,,,,"Forceps Debakey 12'",,,,,
,51,,2,,1,,,-1,,,"BD671R",,,,,,"Forceps Waugh (Cushing) W/Teeth 8""",,,,,
,54,,1,,0,,,-1,,,"XG006R",,,,,,"Forceps Russian Tissue 10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"019",,,,"MAJOR BASIC PAN 1 19",,,,,
,8,,4,,0,,,-4,,,"BF431R",,,,,,"Clamp Backhaus Towel 3-1/2"".",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL GENERAL 2",,,,,
,16,,1,,0,,,-1,,,"23-1046",,,,,,"Curette #3",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,,
,12,,1,,0,,,-1,,,"SU860",,,,,,"Stewart Crypt Hook 8-1/2"" Hook 7/8""",,,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Small",,,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Medium",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RECTAL GENERAL 6",,,,,
,2,,1,,0,,,-1,,,"461430",,,,,,"Small Rectal  (Long Iris)",,,,,
,3,,1,,0,,,-1,,,"SU1741",,,,,,"Operating Scissors 5"" Cvd S/s",,,,,
,13,,1,,0,,,-1,,,"SU810",,,,,,"Small (Rosser)",,,,,
,38,,1,,0,,,-1,,,"181108",,,,,,"Tissue W/Out Teeth (Thumb) 8""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
