,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,2/17/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 37",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"BOWEL SPECIALS GENERAL 6",,,,,
,2,,2,,1,,,-1,,,"SU6100",,,,,,"Glassman Gastrointestin Clamp 9-1/4 Str",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN003",,,,,,,,,,,"S/N:",,"004",,,,"BX CENTRAL LINE 4",,,,,
,18,,2,,1,,,-1,,,"320-110",,,,,,"Debakey Vascular Tissue Forceps 6"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,,
,22,,4,,2,,,-2,,,"477116",,,,,,"Clamp Vanderbilt",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"008",,,,"MAJOR BASIC PAN 1 8",,,,,
,32,,1,,0,,,-1,,,"BC281R",,,,,,"Nelson Metz Scissors Tc 11"" Cvd Del",,,,,
,46,,2,,1,,,-1,,,"BD559R",,,,,,"Forceps  Tissue With Teeth",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"011",,,,"MAJOR BASIC PAN 1 11",,,,,
,39,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"016",,,,"MAJOR BASIC PAN 1 16",,,,,
,13,,4,,3,,,-1,,,"BH642R",,,,,,"Clamp Kocher 6-1/4"" Str.",,,,,
,22,,4,,3,,,-1,,,"477116",,,,,,"Clamp Vanderbilt",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"018",,,,"MAJOR BASIC PAN 1 18",,,,,
,51,,2,,1,,,-1,,,"BD671R",,,,,,"Forceps Waugh (Cushing) W/Teeth 8""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"020",,,,"MAJOR BASIC PAN 1 20",,,,,
,36,,2,,0,,,-2,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN008",,,,,,,,,,,"S/N:",,"013",,,,"MAJOR BASIC PAN 2 13",,,,,
,32,,1,,0,,,-1,,,"170-102",,,,,,"Poole Suction Tube 8-3/4"" Str 32fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"001",,,,"RECTAL GENERAL 1",,,,,
,40,,1,,0,,,-1,,,"80-2715",,,,,,"Buie Suction Tube W/valve 15fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"RECTAL GENERAL 2",,,,,
,8,,1,,0,,,-1,,,"180-234",,,,,,"Probe W/eye Silver 6""",,,,,
,40,,1,,0,,,-1,,,"80-2715",,,,,,"Buie Suction Tube W/valve 15fr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,,
,12,,1,,0,,,-1,,,"SU860",,,,,,"Stewart Crypt Hook 8-1/2"" Hook 7/8""",,,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Small",,,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Medium",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RECTAL GENERAL 6",,,,,
,2,,1,,0,,,-1,,,"461430",,,,,,"Small Rectal  (Long Iris)",,,,,
,3,,1,,0,,,-1,,,"SU1741",,,,,,"Operating Scissors 5"" Cvd S/s",,,,,
,8,,1,,0,,,-1,,,"180-234",,,,,,"Probe W/eye Silver 6""",,,,,
,13,,1,,0,,,-1,,,"SU810",,,,,,"Small (Rosser)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL FISTULA GEN 2",,,,,
,6,,1,,0,,,-1,,,"OP7030-034",,,,,,"Williams Lacrimal Probe 5-1/2"" #3/4",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN017",,,,,,,,,,,"S/N:",,"002",,,,"RETR RECTAL HILL FERGUSON LTD GEN 2",,,,,
,15,,1,,0,,,-1,,,"01-0350",,,,,,"Cord Light 3.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"001",,,,"TRACH GEN 1",,,,,
,34,,2,,1,,,-1,,,"070116",,,,,,"Jackson Tracheal Retractor D/E",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"TRACH GEN 2",,,,,
,40,,2,,0,,,-2,,,"205-150",,,,,,"Weitlaner Retractor 5-1/2"" 3x4-prng S/",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"TRACH GEN 3",,,,,
,12,,2,,1,,,-1,,,"475307",,,,,,"Clamp Coller  5-1/2"" Strong Cvd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
