,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,3/29/2016,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 37",
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair"
,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BENDO029",,,,,,,,,,,"S/N:",,"005",,,,"LAPSC RETR MARTIN ARM 5",,,,
,2,,1,,0,,,-1,,,"LAP-101A",,,,,,"Clamp",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"003",,,,"BOWEL SPECIALS GENERAL 3",,,,
,2,,2,,1,,,-1,,,"SU6100",,,,,,"Glassman Gastrointestin Clamp 9-1/4 Str",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR BASIC PAN 1 1",,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,
,40,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,
,55,,1,,0,,,-1,,,"XG006R",,,,,,"Forceps Russian Tissue 10""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,
,8,,4,,2,,,-2,,,"BF431R",,,,,,"Clamp Backhaus Towel 3-1/2"".",,,,
,31,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,
,42,,4,,3,,,-1,,,"BH473R",,,,,,"Clamp Kelly 10'",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"MAJOR BASIC PAN 1 5",,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"011",,,,"MAJOR BASIC PAN 1 11",,,,
,37,,2,,0,,,-2,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"019",,,,"MAJOR BASIC PAN 1 19",,,,
,20,,1,,0,,,-1,,,"496112",,,,,,"Westphal Duct Clamp 7-1/2"" 80°",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"023",,,,"MAJOR BASIC PAN 1 23",,,,
,55,,1,,0,,,-1,,,"XG006R",,,,,,"Forceps Russian Tissue 10""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN008",,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 2 7",,,,
,12,,1,,0,,,-1,,,"48-1825",,,,,,"Retractor Deaver Long 1-1/2""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"004",,,,"MINOR BASIC 4",,,,
,6,,2,,1,,,-1,,,"BF463R",,,,,,"Clamp Towel Clip 5-1/8"" Non Perf",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"013",,,,"MINOR BASIC 13",,,,
,28,,2,,0,,,-2,,,"FB402R",,,,,,"Forceps Debakey 8"" 2mm",,,,
,31,,2,,0,,,-2,,,"OL602R",,,,,,"Kleinert Kutz Skin Hook 6-3/8"" 4.2mm #2",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"028",,,,"MINOR BASIC 28",,,,
,13,,2,,1,,,-1,,,"EA031R",,,,,,"Babcock Tissue Clamp 6-3/4""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Retractor Sawyer Rectal Small",,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Retractor Sawyer Rectal Med",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL FISTULA GEN 3",,,,
,2,,2,,1,,,-1,,,"SU760",,,,,,"Buie Fistula Probe 5-3/8 Lt",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"005",,,,"TRACH GEN 5",,,,
,39,,2,,1,,,-1,,,"164865",,,,,,"Retractor Vein 9'",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN021",,,,,,,,,,,"S/N:",,"001",,,,"RETR PELVIC LTD GEN 1",,,,
,21,,1,,0,,,-1,,,"E1502",,,,,,"Cautery Tip Extender Reusable (DO NOT THROW AWAY)",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN024",,,,,,,,,,,"S/N:",,"002",,,,"SCOPE COLON FLEX GEN 2",,,,
,4,,1,,0,,,-1,,,"MB358",,,,,,"Biopsy Valve  Semi-Disposable",,,,
,5,,1,,0,,,-1,,,"MH438",,,,,,"Air/Water Valve",,,,
,6,,1,,0,,,-1,,,"MH443",,,,,,"Suction Valve",,,,
,9,,1,,0,,,-1,,,"MAJ-901",,,,,,"Water Container",,,,
,10,,1,,0,,,-1,,,"0108",,,,,,"Lid That Has Water Tube Connected To It",,,,
,11,,1,,0,,,-1,,,"0109",,,,,,"Green O Ring",,,,
,12,,1,,0,,,-1,,,"0110",,,,,,"Bottle (Can Be Opaque Or Clear)",,,,
,13,,1,,0,,,-1,,,"0111",,,,,,"Bottle Protector White (For Clear Bottle Only)",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN025",,,,,,,,,,,"S/N:",,"004",,,,"RETR THOMPSON BLD GEN 4",,,,
,5,,6,,5,,,-1,,,"42126LC",,,,,,"Clamp Clip on Cam Latch Joint",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN031",,,,,,,,,,,"S/N:",,"001",,,,"CLAMP PROFUNDA SM 1",,,,
,5,,2,,1,,,-1,,,"BC181R",,,,,,"Scissor    Tenotomy(8')",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN038",,,,,,,,,,,"S/N:",,"003",,,,"SMALL PROCEDURE PAN GENERAL 3",,,,
,12,,1,,0,,,-1,,,"BC547R",,,,,,"Scissors Mayo Str 6-3/4""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
